,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
35681,40.724000000000004,-73.993,40.713,-73.911,1,1,1
13565,40.734,-74.0,40.758,-73.988,4,1,1
48039,40.736999999999995,-73.997,40.721,-73.98100000000002,18,1,1
5034,40.723,-73.98899999999998,40.71,-74.016,19,1,1
30928,40.775999999999996,-73.958,40.765,-73.955,13,1,1
38435,40.779,-73.945,40.769,-73.962,18,1,1
5029,40.747,-73.98100000000002,40.764,-73.959,23,1,1
27347,40.775,-73.95,40.772,-73.958,8,1,1
28118,40.791,-73.969,40.777,-73.979,21,1,1
5092,40.686,-73.983,40.664,-73.979,19,1,1
11412,40.735,-74.002,40.753,-74.00399999999998,21,1,1
55958,40.815,-73.959,40.783,-73.977,17,1,1
49009,40.795,-73.96600000000002,40.775,-73.982,15,1,1
48233,40.775,-73.982,40.779,-73.956,12,1,1
43586,40.749,-73.993,40.758,-73.97399999999998,17,1,1
41863,40.771,-73.968,40.791,-73.979,19,1,1
23566,40.803000000000004,-73.964,40.812,-73.92399999999998,4,1,1
45146,40.76300000000001,-73.98100000000002,40.723,-73.988,19,1,1
9345,40.792,-73.953,40.771,-73.982,20,1,1
14798,40.754,-73.969,40.76300000000001,-73.985,19,1,1
49283,40.749,-73.993,40.765,-73.973,5,1,1
6082,40.766999999999996,-73.994,40.778,-73.97800000000002,21,1,1
27616,40.756,-73.973,40.751,-73.991,21,1,1
50395,40.775,-73.954,40.762,-73.975,21,1,1
57260,40.729,-73.972,40.719,-73.985,20,1,1
52424,40.78,-73.98100000000002,40.801,-73.965,8,1,1
45392,40.755,-73.995,40.735,-73.994,19,1,1
52961,40.774,-73.873,40.75,-73.98100000000002,16,1,1
21654,40.733000000000004,-74.0,40.778,-73.946,1,1,1
18453,40.765,-73.964,40.765,-73.969,8,1,1
21290,40.749,-73.993,40.753,-73.97800000000002,21,1,1
29627,40.725,-74.003,40.714,-74.014,8,1,1
53858,40.784,-73.95,40.764,-73.956,23,1,1
25008,40.742,-73.997,40.744,-73.979,17,1,1
41338,40.76,-73.98,40.746,-74.008,9,1,1
9571,40.765,-73.953,40.792,-73.97,13,1,1
39929,40.758,-74.0,40.754,-73.997,12,1,1
3192,40.749,-73.98899999999998,40.756,-73.986,19,1,1
4182,40.741,-73.97800000000002,40.736999999999995,-73.973,21,1,1
24699,40.744,-73.984,40.74,-74.007,18,1,1
30099,40.732,-73.997,40.764,-73.977,17,1,1
6998,40.743,-73.98,40.78,-73.953,19,1,1
14650,40.766,-73.96300000000002,40.784,-73.95,19,1,1
20643,40.785,-73.952,40.775,-73.96300000000002,17,1,1
4065,40.736,-73.98899999999998,40.754,-73.968,14,1,1
21601,40.733000000000004,-73.982,40.751,-73.991,4,1,1
33601,40.751,-73.976,40.756,-73.975,8,1,1
44694,40.777,-73.982,40.783,-73.957,9,1,1
29016,40.69,-73.97,40.674,-73.946,0,1,1
36641,40.766,-73.98100000000002,40.74,-73.979,18,1,1
58329,40.749,-73.992,40.742,-73.986,20,1,1
49298,40.714,-74.014,40.762,-73.97399999999998,16,1,1
51748,40.728,-73.999,40.719,-73.998,13,1,1
9464,40.773,-73.967,40.765,-73.96600000000002,12,1,1
38448,40.755,-73.987,40.76300000000001,-73.985,19,1,1
23307,40.751,-73.971,40.746,-73.995,20,1,1
50784,40.768,-73.982,40.735,-74.009,21,1,1
781,40.751,-73.994,40.733000000000004,-73.987,19,1,1
43791,40.765,-73.98,40.774,-73.98100000000002,23,1,1
52457,40.75,-73.899,40.742,-73.854,8,1,1
30142,40.746,-73.98100000000002,40.725,-74.0,13,1,1
7309,40.783,-73.958,40.771,-73.98100000000002,12,1,1
8581,40.744,-73.988,40.753,-73.986,22,1,1
2496,40.757,-73.983,40.715,-74.016,3,1,1
17177,40.714,-74.008,40.711999999999996,-74.006,19,1,1
45899,40.739000000000004,-73.987,40.721,-73.99600000000002,0,1,1
21610,40.799,-73.969,40.79,-73.969,17,1,1
35349,40.79,-73.975,40.736999999999995,-73.873,19,1,1
19235,40.774,-73.964,40.77,-73.969,10,1,1
50038,40.753,-73.997,40.757,-73.973,15,1,1
5104,40.762,-73.975,40.742,-73.985,13,1,1
23357,40.743,-73.993,40.766,-73.99,3,1,1
10746,40.762,-73.96600000000002,40.771,-73.959,13,1,1
22445,40.722,-73.98899999999998,40.713,-73.952,22,1,1
60079,40.736,-73.985,40.715,-74.014,7,1,1
46582,40.758,-73.975,40.775999999999996,-73.95100000000002,18,1,1
59153,40.771,-73.956,40.733000000000004,-74.005,22,1,1
14090,40.751999999999995,-73.975,40.705999999999996,-74.007,7,1,1
37696,40.760999999999996,-73.991,40.756,-73.987,8,1,1
33005,40.69300000000001,-73.956,40.691,-73.955,4,1,1
4914,40.75,-73.991,40.756,-73.982,21,1,1
17784,40.797,-73.949,40.794000000000004,-73.95100000000002,11,1,1
29502,40.765,-73.959,40.779,-73.962,8,1,1
20562,40.745,-73.985,40.76300000000001,-73.972,6,2,2
23110,40.778,-73.959,40.795,-73.94800000000002,21,1,1
1175,40.771,-73.96,40.74800000000001,-73.972,13,1,1
30311,40.775,-73.983,40.78,-73.961,18,1,1
31007,40.751,-73.995,40.746,-73.98,1,1,1
53080,40.759,-73.975,40.765,-73.97,16,1,1
56916,40.756,-73.964,40.805,-73.939,9,1,1
5751,40.768,-73.983,40.78,-73.987,16,1,1
38815,40.727,-73.977,40.782,-73.985,14,1,1
46425,40.742,-74.006,40.754,-73.98899999999998,18,1,1
58780,40.784,-73.952,40.765,-73.953,15,1,1
55334,40.741,-73.998,40.731,-73.98100000000002,12,1,1
1855,40.744,-73.983,40.74800000000001,-73.993,19,1,1
1724,40.724000000000004,-73.991,40.747,-73.986,12,1,1
6988,40.72,-73.99,40.765,-73.917,23,1,1
28421,40.762,-73.97800000000002,40.745,-73.992,20,1,1
58138,40.783,-73.955,40.764,-73.973,9,1,1
46950,40.757,-73.972,40.781,-73.976,19,1,1
13849,40.759,-73.977,40.75,-73.991,21,1,1
43692,40.725,-73.999,40.764,-73.98,10,1,1
