,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,hour,weekend,weekday
146929,40.738,-73.995,40.732,-73.996,18,True,False
479843,40.788,-73.974,40.813,-73.963,16,False,True
225953,40.749,-73.995,40.75,-73.975,9,False,True
474709,40.785,-73.959,40.762,-73.969,14,False,True
60645,40.72,-73.989,40.732,-74.002,19,False,True
366255,40.764,-73.965,40.747,-73.945,6,False,True
300408,40.758,-73.992,40.762,-73.972,8,False,True
160437,40.741,-74.007,40.747,-73.999,0,False,True
83705,40.726,-73.995,40.729,-73.996,16,False,True
16228,40.693,-73.992,40.639,-73.963,20,False,True
270478,40.755,-73.995,40.705,-74.011,23,False,True
352588,40.764,-73.992,40.765,-73.981,12,False,True
466404,40.782,-73.956,40.78,-73.957,7,False,True
496334,40.8,-73.953,40.801,-73.945,14,False,True
54237,40.72,-74.001,40.699,-73.948,14,True,False
228967,40.749,-73.992,40.723,-74.008,15,True,False
157791,40.741,-74.01,40.72,-74.002,9,False,True
276402,40.755,-73.989,40.747,-73.993,10,False,True
448974,40.779,-73.98,40.792,-73.975,9,False,True
52835,40.72,-74.007,40.726,-73.996,6,False,True
193928,40.744,-73.983,40.756,-73.993,18,True,False
111074,40.732,-74.001,40.705,-74.008,1,False,True
248776,40.752,-74.001,40.825,-73.948,2,False,True
168956,40.741,-73.992,40.747,-74.008,4,True,False
448898,40.779,-73.98,40.786,-73.969,8,False,True
81886,40.726,-74.001,40.765,-73.999,21,True,False
354487,40.764,-73.986,40.645,-73.777,14,False,True
263984,40.752,-73.974,40.774,-73.873,9,True,False
347798,40.761,-73.962,40.756,-73.969,11,False,True
124149,40.735,-74.007,40.726,-74.008,9,False,True
469070,40.782,-73.95,40.792,-73.969,20,False,True
320115,40.758,-73.962,40.729,-73.978,15,False,True
111623,40.732,-74.001,40.729,-73.993,12,False,True
433055,40.776,-73.983,40.777,-73.99,2,False,True
237982,40.749,-73.983,40.816,-73.945,16,False,True
183462,40.744,-73.998,40.738,-73.978,20,False,True
62901,40.72,-73.986,40.801,-73.966,17,False,True
327851,40.761,-73.986,40.741,-73.99,16,False,True
349333,40.761,-73.959,40.777,-73.957,19,False,True
386397,40.767,-73.956,40.744,-73.978,17,False,True
230117,40.749,-73.992,40.741,-73.975,21,False,True
328347,40.761,-73.986,40.756,-74.002,9,False,True
501296,40.812,-73.959,40.75,-73.987,8,False,True
209290,40.746,-73.989,40.744,-73.957,18,False,True
184789,40.744,-73.995,40.735,-73.999,9,False,True
207598,40.746,-73.992,40.75,-73.972,20,False,True
273314,40.755,-73.992,40.75,-73.987,20,False,True
312598,40.758,-73.974,40.72,-74.002,18,False,True
325677,40.761,-73.989,40.729,-74.005,4,False,True
255336,40.752,-73.986,40.762,-73.987,21,False,True
449337,40.779,-73.977,40.75,-73.972,21,False,True
36627,40.714,-74.01,40.72,-73.996,20,True,False
314984,40.758,-73.971,40.738,-73.987,18,True,False
215413,40.746,-73.98,40.735,-73.996,8,False,True
53826,40.72,-74.004,40.729,-73.993,14,False,True
62115,40.72,-73.986,40.702,-74.008,7,False,True
191166,40.744,-73.986,40.747,-74.005,12,False,True
390697,40.767,-73.864,40.744,-74.008,10,False,True
492610,40.797,-73.968,40.774,-73.981,18,False,True
358191,40.764,-73.983,40.789,-73.972,22,False,True
65360,40.723,-74.007,40.747,-74.005,9,False,True
43728,40.717,-74.007,40.744,-73.993,13,False,True
832,40.642,-73.971,40.63,-73.954,13,False,True
74299,40.723,-73.986,40.708,-74.008,23,False,True
109178,40.732,-74.004,40.717,-73.993,1,False,True
428714,40.773,-73.873,40.747,-73.876,13,False,True
333719,40.761,-73.98,40.756,-73.981,14,False,True
209033,40.746,-73.989,40.738,-73.99,22,False,True
470453,40.785,-73.98,40.774,-73.963,20,True,False
431702,40.776,-73.986,40.771,-73.987,19,False,True
153440,40.738,-73.986,40.741,-73.996,14,False,True
216160,40.746,-73.98,40.759,-73.978,15,False,True
183396,40.744,-73.998,40.738,-73.996,7,True,False
193721,40.744,-73.983,40.75,-73.99,9,False,True
348755,40.761,-73.959,40.741,-73.975,14,False,True
345722,40.761,-73.968,40.789,-73.975,18,False,True
470446,40.785,-73.98,40.774,-73.966,23,False,True
183975,40.744,-73.998,40.759,-73.972,19,False,True
139191,40.738,-74.01,40.747,-74.005,8,False,True
456759,40.779,-73.95,40.645,-73.792,14,True,False
315048,40.758,-73.971,40.741,-73.987,10,True,False
161529,40.741,-74.007,40.867,-73.927,2,False,True
302207,40.758,-73.989,40.756,-73.99,6,False,True
167341,40.741,-73.995,40.759,-73.981,1,False,True
188665,40.744,-73.989,40.729,-73.99,19,False,True
390560,40.767,-73.864,40.738,-73.999,11,False,True
237622,40.749,-73.983,40.768,-73.984,11,False,True
228720,40.749,-73.992,40.714,-74.005,9,False,True
320339,40.758,-73.962,40.753,-73.978,7,False,True
161817,40.741,-74.004,40.729,-73.99,9,False,True
20431,40.705,-74.019,40.711,-74.017,7,False,True
455617,40.779,-73.956,40.804,-73.966,19,False,True
70605,40.723,-73.995,40.72,-73.999,21,False,True
354542,40.764,-73.986,40.717,-73.996,21,False,True
380877,40.767,-73.971,40.78,-73.96,19,False,True
442781,40.776,-73.953,40.771,-73.951,19,True,False
41594,40.717,-74.013,40.645,-73.777,6,False,True
107197,40.732,-74.007,40.675,-73.984,3,False,True
430665,40.776,-73.992,40.753,-73.999,10,False,True
209483,40.746,-73.989,40.75,-73.993,20,False,True
323648,40.761,-73.995,40.744,-74.005,20,False,True
215452,40.746,-73.98,40.735,-73.987,21,False,True
239845,40.749,-73.98,40.756,-73.966,17,False,True
286280,40.755,-73.974,40.729,-73.999,8,False,True
480172,40.788,-73.971,40.768,-73.984,12,False,True
461260,40.782,-73.98,40.777,-73.984,10,False,True
395067,40.77,-73.983,40.759,-74.005,21,False,True
358944,40.764,-73.98,40.75,-73.99,17,False,True
45756,40.717,-73.998,40.726,-74.014,19,True,False
164196,40.741,-73.998,40.72,-73.99,20,False,True
330690,40.761,-73.983,40.75,-73.996,9,False,True
200345,40.744,-73.9,40.741,-73.903,22,False,True
419941,40.773,-73.959,40.792,-73.978,20,False,True
471295,40.785,-73.977,40.753,-73.981,20,False,True
111222,40.732,-74.001,40.717,-73.999,19,False,True
141692,40.738,-74.004,40.639,-73.789,17,False,True
321345,40.758,-73.959,40.75,-73.978,19,False,True
101982,40.729,-73.989,40.762,-73.984,0,True,False
36897,40.714,-74.01,40.732,-74.008,3,True,False
332921,40.761,-73.98,40.738,-73.984,21,False,True
302570,40.758,-73.989,40.762,-73.987,13,True,False
376407,40.767,-73.986,40.762,-73.993,23,True,False
413456,40.773,-73.983,40.78,-73.96,11,True,False
483825,40.791,-73.974,40.765,-73.969,13,False,True
268304,40.755,-74.004,40.732,-73.996,15,False,True
369875,40.764,-73.959,40.801,-73.942,14,False,True
489845,40.794,-73.968,40.786,-73.978,19,True,False
317694,40.758,-73.968,40.762,-73.972,21,True,False
460090,40.782,-73.983,40.786,-73.972,13,False,True
268963,40.755,-74.001,40.741,-73.993,18,False,True
155408,40.738,-73.983,40.75,-73.966,14,False,True
364947,40.764,-73.968,40.756,-73.969,23,False,True
410746,40.773,-73.989,40.786,-73.957,10,False,True
498796,40.803,-73.942,40.807,-73.963,7,False,True
34547,40.714,-74.016,40.729,-73.999,0,False,True
206720,40.746,-73.992,40.708,-74.011,17,False,True
311978,40.758,-73.977,40.771,-73.954,13,False,True
379179,40.767,-73.983,40.771,-73.876,15,False,True
4000,40.642,-73.784,40.747,-73.99,22,False,True
49099,40.717,-73.989,40.735,-74.002,23,False,True
315267,40.758,-73.971,40.747,-73.987,17,False,True
11014,40.66,-73.805,40.678,-73.843,18,False,True
276885,40.755,-73.989,40.756,-73.987,13,True,False
182456,40.744,-74.001,40.759,-73.993,10,False,True
488452,40.794,-73.974,40.798,-73.963,4,False,True
276700,40.755,-73.989,40.75,-73.936,18,False,True
426204,40.773,-73.876,40.756,-73.999,18,False,True
47818,40.717,-73.992,40.744,-73.996,19,False,True
399423,40.77,-73.965,40.783,-73.975,21,False,True
273428,40.755,-73.992,40.753,-74.005,13,False,True
270079,40.755,-73.998,40.759,-73.99,16,False,True
285370,40.755,-73.977,40.774,-73.966,6,False,True
342876,40.761,-73.971,40.783,-73.951,16,False,True
401806,40.77,-73.959,40.762,-73.978,8,False,True
463269,40.782,-73.974,40.771,-73.96,19,False,True
255037,40.752,-73.986,40.756,-73.99,14,False,True
332370,40.761,-73.98,40.654,-73.966,23,False,True
228825,40.749,-73.992,40.717,-73.987,20,False,True
337644,40.761,-73.974,40.72,-73.963,2,False,True
84114,40.726,-73.995,40.741,-73.987,8,False,True
213340,40.746,-73.983,40.699,-73.993,20,True,False
496578,40.8,-73.947,40.813,-73.939,20,False,True
372919,40.767,-73.998,40.753,-73.99,17,True,False
101274,40.729,-73.989,40.735,-74.002,0,True,False
22899,40.705,-74.01,40.759,-73.996,19,False,True
274054,40.755,-73.992,40.759,-73.972,19,False,True
349055,40.761,-73.959,40.762,-73.969,15,True,False
74724,40.723,-73.986,40.729,-73.984,18,False,True
432174,40.776,-73.983,40.747,-73.99,23,False,True
421081,40.773,-73.956,40.768,-73.969,18,False,True
56094,40.72,-73.998,40.732,-73.987,1,True,False
147481,40.738,-73.995,40.753,-73.993,9,False,True
339020,40.761,-73.974,40.759,-73.999,16,False,True
445228,40.776,-73.947,40.783,-73.972,12,False,True
252092,40.752,-73.992,40.762,-73.99,18,False,True
248429,40.752,-74.001,40.741,-73.927,22,False,True
140897,40.738,-74.007,40.747,-73.753,4,False,True
493055,40.797,-73.965,40.792,-73.969,19,False,True
492561,40.797,-73.971,40.885,-73.912,20,False,True
170393,40.741,-73.989,40.75,-73.996,14,False,True
53558,40.72,-74.004,40.681,-74.005,14,False,True
80005,40.726,-74.004,40.753,-73.996,16,False,True
306187,40.758,-73.986,40.771,-73.99,1,False,True
251855,40.752,-73.992,40.753,-73.987,7,False,True
402149,40.77,-73.959,40.771,-73.954,22,False,True
371751,40.764,-73.953,40.705,-74.005,9,False,True
446021,40.779,-73.986,40.762,-73.975,9,False,True
272311,40.755,-73.992,40.72,-73.99,20,False,True
140286,40.738,-74.007,40.732,-74.008,22,False,True
293059,40.755,-73.965,40.66,-73.993,11,True,False
475554,40.785,-73.956,40.789,-73.96,13,False,True
416678,40.773,-73.965,40.786,-73.957,22,False,True
235984,40.749,-73.986,40.768,-73.864,19,True,False
104100,40.729,-73.983,40.729,-74.014,9,True,False
273204,40.755,-73.992,40.747,-73.972,22,False,True
386264,40.767,-73.956,40.729,-74.011,10,False,True
